year_of_exercise,product_name,product_brand,material_id_code,material_description,business_division,site
2025,Torvexa,Torvexa,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Solaris Park Site
2026,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Specialty Care,Northfield Site
2026,Brenzolix,Brenzolix,MAT-20105,Isopropyl Alcohol,Specialty Care,Northfield Site
2025,Estrivon,Estrivon,MAT-20056,Inbound Ocean Freight - Container,Specialty Care,Meadowbrook Site
2025,Wintrelis,Wintrelis,MAT-20073,Water for Injection,Consumer Healthcare,Kingsley Site
2024,Estrivon,Estrivon,MAT-20056,Inbound Ocean Freight - Container,Consumer Healthcare,Bridgeholm Site
2025,Ulvatrix,Ulvatrix,MAT-20086,Contract Packaging Service,Consumer Healthcare,Solaris Park Site
2024,Renovex,Renovex,MAT-20043,Prefilled Syringe 2.25ml,Pharmaceuticals,Bridgeholm Site
2026,Dermafyx,Dermafyx,MAT-20039,Ethanol (Pharma Grade),Consumer Healthcare,Fenwick Site
2024,Renovex,Renovex,MAT-20094,HPLC Consumable Kit,Consumer Healthcare,Fenwick Site
2025,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Vaccines,Kingsley Site
2025,Wintrelis,Wintrelis,MAT-20002,Synthetic Peptide Concentrate,Pharmaceuticals,Ashford Site
2025,Ulvatrix,Ulvatrix,MAT-20046,Patient Information Leaflet,Consumer Healthcare,Clearwater Site
2024,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Specialty Care,Rivermill Site
2024,Ostreva,Ostreva,MAT-20010,Prefilled Syringe 1ml,Specialty Care,Northfield Site
2024,Pulmatrix,Pulmatrix,MAT-20118,Aseptic Fill & Finish Service,Specialty Care,Eastgate Site
2025,Zolvarin,Zolvarin,MAT-20091,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Eastgate Site
2025,Glucovex,Glucovex,MAT-20038,Methylparaben,Consumer Healthcare,Bridgeholm Site
2024,Mendovia,Mendovia,MAT-20070,Film Coating Powder,Consumer Healthcare,Solaris Park Site
2024,Wintrelis,Wintrelis,MAT-20012,Folding Carton,Specialty Care,Solaris Park Site
2026,Wintrelis,Wintrelis,MAT-20012,Folding Carton,Specialty Care,Ashford Site
2025,Dermafyx,Dermafyx,MAT-20039,Ethanol (Pharma Grade),Pharmaceuticals,Fenwick Site
2025,Renovex,Renovex,MAT-20045,Corrugated Shipping Box,Consumer Healthcare,Eastgate Site
2025,Florivex,Florivex,MAT-20112,Patient Information Leaflet,Pharmaceuticals,Solaris Park Site
2026,Hemazol,Hemazol,MAT-20140,Freeze-dried Vaccine Vial,Consumer Healthcare,Ashford Site
2025,Torvexa,Torvexa,MAT-20015,Corrugated Shipping Case,Specialty Care,Meadowbrook Site
2026,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Vaccines,Rivermill Site
2025,Wintrelis,Wintrelis,MAT-20003,Microcrystalline Cellulose,Pharmaceuticals,Fenwick Site
2025,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Pharmaceuticals,Bridgeholm Site
2026,Vezanta,Vezanta,MAT-20007,Water for Injection,Specialty Care,Clearwater Site
2025,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Vaccines,Clearwater Site
2025,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Vaccines,Solaris Park Site
2026,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Consumer Healthcare,Bridgeholm Site
2025,Pulmatrix,Pulmatrix,MAT-20004,Enteric Coating Blend,Pharmaceuticals,Fenwick Site
2025,Wintrelis,Wintrelis,MAT-20016,Stretch Pallet Wrap,Vaccines,Solaris Park Site
2026,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Specialty Care,Rivermill Site
2025,Sentrivax,Sentrivax,MAT-20034,Recombinant Protein Concentrate,Pharmaceuticals,Rivermill Site
2024,Torvexa,Torvexa,MAT-20040,Water for Injection,Pharmaceuticals,Kingsley Site
2025,Mendovia,Mendovia,MAT-20090,Cold Chain Transport - 2-8C,Vaccines,Solaris Park Site
2024,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Specialty Care,Solaris Park Site
2024,Wintrelis,Wintrelis,MAT-20100,Recombinant Protein Concentrate,Specialty Care,Meadowbrook Site
2024,Immunara,Immunara,MAT-20128,Lab Reagent Kit,Vaccines,Fenwick Site
2024,Hemazol,Hemazol,MAT-20056,Inbound Ocean Freight - Container,Specialty Care,Clearwater Site
2026,Ulvatrix,Ulvatrix,MAT-20066,Ibuprofen API,Consumer Healthcare,Eastgate Site
2025,Pulmatrix,Pulmatrix,MAT-20021,Inbound Road Freight - Pallet,Vaccines,Solaris Park Site
2026,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Vaccines,Northfield Site
2024,Estrivon,Estrivon,MAT-20119,Contract Packaging Service,Vaccines,Northfield Site
2024,Torvexa,Torvexa,MAT-20012,Folding Carton,Pharmaceuticals,Rivermill Site
2026,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Vaccines,Eastgate Site
2025,Renovex,Renovex,MAT-20094,HPLC Consumable Kit,Vaccines,Solaris Park Site
2025,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Pharmaceuticals,Kingsley Site
2026,Torvexa,Torvexa,MAT-20040,Water for Injection,Pharmaceuticals,Ashford Site
2025,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Consumer Healthcare,Meadowbrook Site
2025,Xantivo,Xantivo,MAT-20000,Paracetamol API,Specialty Care,Northfield Site
2025,Pulmatrix,Pulmatrix,MAT-20099,Ibuprofen API,Pharmaceuticals,Solaris Park Site
2024,Sentrivax,Sentrivax,MAT-20000,Paracetamol API,Pharmaceuticals,Northfield Site
2025,Xantivo,Xantivo,MAT-20089,Inbound Ocean Freight - Container,Vaccines,Solaris Park Site
2024,Wintrelis,Wintrelis,MAT-20002,Synthetic Peptide Concentrate,Specialty Care,Eastgate Site
2025,Estrivon,Estrivon,MAT-20046,Patient Information Leaflet,Specialty Care,Ashford Site
2024,Glucovex,Glucovex,MAT-20038,Methylparaben,Specialty Care,Bridgeholm Site
2024,Xantivo,Xantivo,MAT-20008,Glass Vial 2ml,Specialty Care,Meadowbrook Site
2025,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Specialty Care,Northfield Site
2026,Glucovex,Glucovex,MAT-20135,Microcrystalline Cellulose,Pharmaceuticals,Solaris Park Site
2024,Norvelin,Norvelin,MAT-20144,Folding Carton,Consumer Healthcare,Eastgate Site
2026,Ulvatrix,Ulvatrix,MAT-20086,Contract Packaging Service,Vaccines,Meadowbrook Site
2026,Calmera,Calmera,MAT-20022,Inbound Air Freight - Temperature Controlled,Specialty Care,Meadowbrook Site
2024,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Specialty Care,Meadowbrook Site
2026,Advelra,Advelra,MAT-20146,Pressure-sensitive Label,Specialty Care,Fenwick Site
2024,Renovex,Renovex,MAT-20080,Pressure-sensitive Label,Specialty Care,Clearwater Site
2025,Estrivon,Estrivon,MAT-20017,Fermentation Batch Service,Pharmaceuticals,Clearwater Site
2024,Florivex,Florivex,MAT-20054,Inbound Road Freight - Pallet,Vaccines,Clearwater Site
2026,Glucovex,Glucovex,MAT-20069,Microcrystalline Cellulose,Consumer Healthcare,Clearwater Site
2025,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Pharmaceuticals,Meadowbrook Site
2025,Torvexa,Torvexa,MAT-20012,Folding Carton,Consumer Healthcare,Kingsley Site
2026,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Vaccines,Rivermill Site
2024,Renovex,Renovex,MAT-20068,Synthetic Peptide Concentrate,Consumer Healthcare,Kingsley Site
2025,Calmera,Calmera,MAT-20018,Custom Synthesis Batch,Specialty Care,Northfield Site
2026,Torvexa,Torvexa,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Fenwick Site
2025,Advelra,Advelra,MAT-20119,Contract Packaging Service,Vaccines,Clearwater Site
2025,Zolvarin,Zolvarin,MAT-20044,HDPE Bottle 250ml,Vaccines,Eastgate Site
2026,Estrivon,Estrivon,MAT-20103,Enteric Coating Blend,Consumer Healthcare,Clearwater Site
2024,Dermafyx,Dermafyx,MAT-20066,Ibuprofen API,Vaccines,Bridgeholm Site
2026,Torvexa,Torvexa,MAT-20086,Contract Packaging Service,Pharmaceuticals,Rivermill Site
2026,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Consumer Healthcare,Solaris Park Site
2024,Immunara,Immunara,MAT-20138,Isopropyl Alcohol,Pharmaceuticals,Eastgate Site
2025,Wintrelis,Wintrelis,MAT-20077,HDPE Bottle 100ml,Vaccines,Eastgate Site
2026,Glucovex,Glucovex,MAT-20103,Enteric Coating Blend,Consumer Healthcare,Ashford Site
2024,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Vaccines,Fenwick Site
2026,Norvelin,Norvelin,MAT-20046,Patient Information Leaflet,Specialty Care,Rivermill Site
2026,Renovex,Renovex,MAT-20021,Inbound Road Freight - Pallet,Vaccines,Eastgate Site
2025,Glucovex,Glucovex,MAT-20103,Enteric Coating Blend,Specialty Care,Northfield Site
2026,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Pharmaceuticals,Clearwater Site
2024,Renovex,Renovex,MAT-20080,Pressure-sensitive Label,Pharmaceuticals,Solaris Park Site
2026,Xantivo,Xantivo,MAT-20089,Inbound Ocean Freight - Container,Consumer Healthcare,Clearwater Site
2025,Kaldrin,Kaldrin,MAT-20138,Isopropyl Alcohol,Consumer Healthcare,Clearwater Site
2026,Advelra,Advelra,MAT-20142,Prefilled Syringe 1ml,Specialty Care,Ashford Site
2025,Ulvatrix,Ulvatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Specialty Care,Solaris Park Site
2026,Wintrelis,Wintrelis,MAT-20100,Recombinant Protein Concentrate,Pharmaceuticals,Kingsley Site
2024,Pulmatrix,Pulmatrix,MAT-20021,Inbound Road Freight - Pallet,Specialty Care,Rivermill Site
2026,Brenzolix,Brenzolix,MAT-20065,Clinical Trial Kit,Vaccines,Clearwater Site
2025,Calmera,Calmera,MAT-20137,Methylparaben,Vaccines,Northfield Site
2025,Dermafyx,Dermafyx,MAT-20011,HDPE Bottle 100ml,Consumer Healthcare,Fenwick Site
2025,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Consumer Healthcare,Fenwick Site
2026,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Specialty Care,Fenwick Site
2025,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Consumer Healthcare,Rivermill Site
2025,Florivex,Florivex,MAT-20065,Clinical Trial Kit,Specialty Care,Meadowbrook Site
2024,Advelra,Advelra,MAT-20036,Microcrystalline Cellulose,Specialty Care,Bridgeholm Site
2025,Pulmatrix,Pulmatrix,MAT-20004,Enteric Coating Blend,Specialty Care,Bridgeholm Site
2025,Estrivon,Estrivon,MAT-20119,Contract Packaging Service,Pharmaceuticals,Fenwick Site
2025,Calmera,Calmera,MAT-20137,Methylparaben,Consumer Healthcare,Meadowbrook Site
2024,Lumivax,Lumivax,MAT-20085,Aseptic Fill & Finish Service,Vaccines,Meadowbrook Site
2025,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Specialty Care,Meadowbrook Site
2024,Advelra,Advelra,MAT-20119,Contract Packaging Service,Vaccines,Bridgeholm Site
2026,Ostreva,Ostreva,MAT-20126,Filling Line Spare Parts,Pharmaceuticals,Bridgeholm Site
2024,Zolvarin,Zolvarin,MAT-20139,Water for Injection,Specialty Care,Northfield Site
2024,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Pharmaceuticals,Solaris Park Site
2024,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Consumer Healthcare,Meadowbrook Site
2024,Estrivon,Estrivon,MAT-20017,Fermentation Batch Service,Specialty Care,Northfield Site
2024,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Consumer Healthcare,Northfield Site
2026,Sentrivax,Sentrivax,MAT-20091,Cold Storage - Warehouse Pallet Slot,Vaccines,Northfield Site
2025,Ulvatrix,Ulvatrix,MAT-20088,Inbound Air Freight - Temperature Controlled,Vaccines,Meadowbrook Site
2026,Wintrelis,Wintrelis,MAT-20016,Stretch Pallet Wrap,Specialty Care,Rivermill Site
2025,Ulvatrix,Ulvatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Specialty Care,Kingsley Site
2024,Quilava,Quilava,MAT-20113,Pressure-sensitive Label,Consumer Healthcare,Eastgate Site
2025,Sentrivax,Sentrivax,MAT-20000,Paracetamol API,Vaccines,Fenwick Site
2026,Norvelin,Norvelin,MAT-20144,Folding Carton,Pharmaceuticals,Meadowbrook Site
2024,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Vaccines,Fenwick Site
2025,Zolvarin,Zolvarin,MAT-20088,Inbound Air Freight - Temperature Controlled,Consumer Healthcare,Bridgeholm Site
2026,Advelra,Advelra,MAT-20142,Prefilled Syringe 1ml,Specialty Care,Solaris Park Site
2025,Torvexa,Torvexa,MAT-20015,Corrugated Shipping Case,Consumer Healthcare,Kingsley Site
2026,Vezanta,Vezanta,MAT-20113,Pressure-sensitive Label,Vaccines,Clearwater Site
2024,Advelra,Advelra,MAT-20105,Isopropyl Alcohol,Consumer Healthcare,Eastgate Site
2024,Vezanta,Vezanta,MAT-20118,Aseptic Fill & Finish Service,Pharmaceuticals,Fenwick Site
2026,Renovex,Renovex,MAT-20006,Ethanol (Pharma Grade),Consumer Healthcare,Bridgeholm Site
2026,Immunara,Immunara,MAT-20138,Isopropyl Alcohol,Specialty Care,Solaris Park Site
2024,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Vaccines,Rivermill Site
2026,Torvexa,Torvexa,MAT-20028,HPLC Consumable Kit,Specialty Care,Ashford Site
2026,Kaldrin,Kaldrin,MAT-20103,Enteric Coating Blend,Specialty Care,Fenwick Site
2025,Ulvatrix,Ulvatrix,MAT-20088,Inbound Air Freight - Temperature Controlled,Consumer Healthcare,Rivermill Site
2025,Renovex,Renovex,MAT-20094,HPLC Consumable Kit,Vaccines,Solaris Park Site
2026,Advelra,Advelra,MAT-20088,Inbound Air Freight - Temperature Controlled,Vaccines,Kingsley Site
2026,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Consumer Healthcare,Rivermill Site
2025,Torvexa,Torvexa,MAT-20040,Water for Injection,Vaccines,Solaris Park Site
2025,Florivex,Florivex,MAT-20054,Inbound Road Freight - Pallet,Consumer Healthcare,Bridgeholm Site
2026,Norvelin,Norvelin,MAT-20002,Synthetic Peptide Concentrate,Consumer Healthcare,Eastgate Site
2025,Pulmatrix,Pulmatrix,MAT-20024,Cold Chain Transport - 2-8C,Consumer Healthcare,Bridgeholm Site
2024,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Vaccines,Northfield Site
2025,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Vaccines,Rivermill Site
2024,Mendovia,Mendovia,MAT-20020,Contract Packaging Service,Pharmaceuticals,Ashford Site
2026,Sentrivax,Sentrivax,MAT-20021,Inbound Road Freight - Pallet,Consumer Healthcare,Eastgate Site
2025,Norvelin,Norvelin,MAT-20138,Isopropyl Alcohol,Consumer Healthcare,Kingsley Site
2025,Kaldrin,Kaldrin,MAT-20035,Synthetic Peptide Concentrate,Pharmaceuticals,Clearwater Site
2024,Estrivon,Estrivon,MAT-20103,Enteric Coating Blend,Specialty Care,Eastgate Site
2026,Hemazol,Hemazol,MAT-20064,Comparator Drug Batch,Pharmaceuticals,Ashford Site
2026,Ulvatrix,Ulvatrix,MAT-20025,Cold Storage - Warehouse Pallet Slot,Pharmaceuticals,Eastgate Site
2024,Florivex,Florivex,MAT-20065,Clinical Trial Kit,Pharmaceuticals,Northfield Site
2025,Xantivo,Xantivo,MAT-20032,Clinical Trial Kit,Consumer Healthcare,Bridgeholm Site
2026,Vezanta,Vezanta,MAT-20093,Filling Line Spare Parts,Pharmaceuticals,Bridgeholm Site
2025,Immunara,Immunara,MAT-20140,Freeze-dried Vaccine Vial,Consumer Healthcare,Meadowbrook Site
2026,Calmera,Calmera,MAT-20021,Inbound Road Freight - Pallet,Specialty Care,Ashford Site
2025,Lumivax,Lumivax,MAT-20085,Aseptic Fill & Finish Service,Pharmaceuticals,Bridgeholm Site
2026,Sentrivax,Sentrivax,MAT-20045,Corrugated Shipping Box,Specialty Care,Solaris Park Site
2026,Pulmatrix,Pulmatrix,MAT-20059,Stainless Steel Reactor Component,Consumer Healthcare,Kingsley Site
2025,Calmera,Calmera,MAT-20021,Inbound Road Freight - Pallet,Pharmaceuticals,Bridgeholm Site
2025,Torvexa,Torvexa,MAT-20020,Contract Packaging Service,Specialty Care,Eastgate Site
2026,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Consumer Healthcare,Bridgeholm Site
2025,Renovex,Renovex,MAT-20080,Pressure-sensitive Label,Vaccines,Bridgeholm Site
2024,Advelra,Advelra,MAT-20036,Microcrystalline Cellulose,Specialty Care,Clearwater Site
2024,Calmera,Calmera,MAT-20121,Inbound Air Freight - Temperature Controlled,Specialty Care,Rivermill Site
2024,Florivex,Florivex,MAT-20061,HPLC Consumable Kit,Pharmaceuticals,Fenwick Site
2024,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Vaccines,Kingsley Site
2026,Vezanta,Vezanta,MAT-20007,Water for Injection,Specialty Care,Rivermill Site
2024,Renovex,Renovex,MAT-20045,Corrugated Shipping Box,Specialty Care,Northfield Site
2025,Norvelin,Norvelin,MAT-20008,Glass Vial 2ml,Pharmaceuticals,Rivermill Site
2025,Brenzolix,Brenzolix,MAT-20105,Isopropyl Alcohol,Vaccines,Solaris Park Site
2024,Quilava,Quilava,MAT-20013,Patient Information Leaflet,Vaccines,Clearwater Site
2026,Sentrivax,Sentrivax,MAT-20034,Recombinant Protein Concentrate,Vaccines,Meadowbrook Site
2026,Xantivo,Xantivo,MAT-20008,Glass Vial 2ml,Consumer Healthcare,Kingsley Site
2024,Pulmatrix,Pulmatrix,MAT-20021,Inbound Road Freight - Pallet,Consumer Healthcare,Northfield Site
2025,Ostreva,Ostreva,MAT-20010,Prefilled Syringe 1ml,Specialty Care,Bridgeholm Site
2025,Ulvatrix,Ulvatrix,MAT-20126,Filling Line Spare Parts,Vaccines,Solaris Park Site
2025,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Pharmaceuticals,Ashford Site
2024,Pulmatrix,Pulmatrix,MAT-20059,Stainless Steel Reactor Component,Vaccines,Solaris Park Site
2025,Dermafyx,Dermafyx,MAT-20011,HDPE Bottle 100ml,Consumer Healthcare,Northfield Site
2025,Wintrelis,Wintrelis,MAT-20003,Microcrystalline Cellulose,Pharmaceuticals,Fenwick Site
2026,Estrivon,Estrivon,MAT-20143,HDPE Bottle 250ml,Specialty Care,Kingsley Site
2026,Ulvatrix,Ulvatrix,MAT-20112,Patient Information Leaflet,Consumer Healthcare,Meadowbrook Site
2024,Immunara,Immunara,MAT-20049,Stretch Pallet Wrap,Consumer Healthcare,Bridgeholm Site
2024,Sentrivax,Sentrivax,MAT-20000,Paracetamol API,Pharmaceuticals,Meadowbrook Site
2025,Calmera,Calmera,MAT-20021,Inbound Road Freight - Pallet,Pharmaceuticals,Rivermill Site
2024,Zolvarin,Zolvarin,MAT-20086,Contract Packaging Service,Consumer Healthcare,Northfield Site
2025,Glucovex,Glucovex,MAT-20103,Enteric Coating Blend,Specialty Care,Rivermill Site
2026,Lumivax,Lumivax,MAT-20114,Reusable Shipping Tote,Pharmaceuticals,Northfield Site
2026,Torvexa,Torvexa,MAT-20028,HPLC Consumable Kit,Specialty Care,Kingsley Site
2026,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Vaccines,Solaris Park Site
2025,Vezanta,Vezanta,MAT-20140,Freeze-dried Vaccine Vial,Consumer Healthcare,Clearwater Site
2025,Renovex,Renovex,MAT-20094,HPLC Consumable Kit,Specialty Care,Ashford Site
2025,Torvexa,Torvexa,MAT-20015,Corrugated Shipping Case,Vaccines,Clearwater Site
2025,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Pharmaceuticals,Rivermill Site
2024,Ostreva,Ostreva,MAT-20027,Filling Line Spare Parts,Consumer Healthcare,Ashford Site
2025,Glucovex,Glucovex,MAT-20103,Enteric Coating Blend,Vaccines,Rivermill Site
2026,Mendovia,Mendovia,MAT-20090,Cold Chain Transport - 2-8C,Consumer Healthcare,Ashford Site
2024,Xantivo,Xantivo,MAT-20000,Paracetamol API,Specialty Care,Solaris Park Site
2026,Dermafyx,Dermafyx,MAT-20039,Ethanol (Pharma Grade),Vaccines,Northfield Site
2026,Estrivon,Estrivon,MAT-20143,HDPE Bottle 250ml,Consumer Healthcare,Bridgeholm Site
2026,Mendovia,Mendovia,MAT-20092,Stainless Steel Reactor Component,Vaccines,Solaris Park Site
2024,Hemazol,Hemazol,MAT-20049,Stretch Pallet Wrap,Pharmaceuticals,Clearwater Site
2025,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Consumer Healthcare,Meadowbrook Site
2024,Sentrivax,Sentrivax,MAT-20080,Pressure-sensitive Label,Specialty Care,Northfield Site
2024,Pulmatrix,Pulmatrix,MAT-20118,Aseptic Fill & Finish Service,Consumer Healthcare,Clearwater Site
2026,Quilava,Quilava,MAT-20113,Pressure-sensitive Label,Specialty Care,Eastgate Site
2024,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Consumer Healthcare,Bridgeholm Site
2026,Kaldrin,Kaldrin,MAT-20058,Cold Storage - Warehouse Pallet Slot,Specialty Care,Meadowbrook Site
2026,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Specialty Care,Rivermill Site
2024,Pulmatrix,Pulmatrix,MAT-20129,Pipette Tips (case),Pharmaceuticals,Eastgate Site
2024,Florivex,Florivex,MAT-20134,Synthetic Peptide Concentrate,Pharmaceuticals,Clearwater Site
2026,Torvexa,Torvexa,MAT-20002,Synthetic Peptide Concentrate,Consumer Healthcare,Rivermill Site
2025,Hemazol,Hemazol,MAT-20049,Stretch Pallet Wrap,Specialty Care,Clearwater Site
2024,Xantivo,Xantivo,MAT-20089,Inbound Ocean Freight - Container,Vaccines,Ashford Site
2025,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Vaccines,Kingsley Site
2024,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Consumer Healthcare,Solaris Park Site
2024,Glucovex,Glucovex,MAT-20107,Freeze-dried Vaccine Vial,Specialty Care,Fenwick Site
2024,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Vaccines,Rivermill Site
2024,Sentrivax,Sentrivax,MAT-20080,Pressure-sensitive Label,Specialty Care,Ashford Site
2024,Pulmatrix,Pulmatrix,MAT-20099,Ibuprofen API,Specialty Care,Clearwater Site
2024,Ostreva,Ostreva,MAT-20083,Fermentation Batch Service,Vaccines,Fenwick Site
2025,Yenzura,Yenzura,MAT-20072,Ethanol (Pharma Grade),Consumer Healthcare,Eastgate Site
2024,Brenzolix,Brenzolix,MAT-20071,Sodium Benzoate,Vaccines,Solaris Park Site
2026,Immunara,Immunara,MAT-20077,HDPE Bottle 100ml,Pharmaceuticals,Rivermill Site
2026,Glucovex,Glucovex,MAT-20015,Corrugated Shipping Case,Specialty Care,Bridgeholm Site
2025,Hemazol,Hemazol,MAT-20064,Comparator Drug Batch,Consumer Healthcare,Kingsley Site
2024,Yenzura,Yenzura,MAT-20129,Pipette Tips (case),Specialty Care,Ashford Site
2024,Ulvatrix,Ulvatrix,MAT-20008,Glass Vial 2ml,Vaccines,Meadowbrook Site
2025,Immunara,Immunara,MAT-20138,Isopropyl Alcohol,Consumer Healthcare,Meadowbrook Site
2026,Advelra,Advelra,MAT-20133,Monoclonal Antibody Bulk,Vaccines,Solaris Park Site
2025,Zolvarin,Zolvarin,MAT-20024,Cold Chain Transport - 2-8C,Specialty Care,Meadowbrook Site
2025,Norvelin,Norvelin,MAT-20046,Patient Information Leaflet,Consumer Healthcare,Eastgate Site
2024,Norvelin,Norvelin,MAT-20040,Water for Injection,Specialty Care,Solaris Park Site
2024,Quilava,Quilava,MAT-20099,Ibuprofen API,Vaccines,Rivermill Site
2026,Torvexa,Torvexa,MAT-20020,Contract Packaging Service,Specialty Care,Kingsley Site
2025,Vezanta,Vezanta,MAT-20012,Folding Carton,Vaccines,Eastgate Site
2026,Quilava,Quilava,MAT-20099,Ibuprofen API,Specialty Care,Meadowbrook Site
2025,Calmera,Calmera,MAT-20018,Custom Synthesis Batch,Pharmaceuticals,Northfield Site
2026,Glucovex,Glucovex,MAT-20135,Microcrystalline Cellulose,Pharmaceuticals,Eastgate Site
2025,Yenzura,Yenzura,MAT-20016,Stretch Pallet Wrap,Pharmaceuticals,Solaris Park Site
2025,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Consumer Healthcare,Bridgeholm Site
2025,Norvelin,Norvelin,MAT-20052,Aseptic Fill & Finish Service,Vaccines,Bridgeholm Site
2024,Sentrivax,Sentrivax,MAT-20045,Corrugated Shipping Box,Consumer Healthcare,Ashford Site
2024,Zolvarin,Zolvarin,MAT-20086,Contract Packaging Service,Pharmaceuticals,Meadowbrook Site
2025,Mendovia,Mendovia,MAT-20085,Aseptic Fill & Finish Service,Pharmaceuticals,Fenwick Site
2025,Wintrelis,Wintrelis,MAT-20073,Water for Injection,Vaccines,Eastgate Site
2024,Mendovia,Mendovia,MAT-20070,Film Coating Powder,Consumer Healthcare,Kingsley Site
2026,Pulmatrix,Pulmatrix,MAT-20004,Enteric Coating Blend,Specialty Care,Kingsley Site
2024,Lumivax,Lumivax,MAT-20084,Custom Synthesis Batch,Vaccines,Northfield Site
2024,Kaldrin,Kaldrin,MAT-20035,Synthetic Peptide Concentrate,Consumer Healthcare,Meadowbrook Site
2025,Hemazol,Hemazol,MAT-20064,Comparator Drug Batch,Specialty Care,Clearwater Site
2026,Dermafyx,Dermafyx,MAT-20085,Aseptic Fill & Finish Service,Pharmaceuticals,Bridgeholm Site
2026,Mendovia,Mendovia,MAT-20113,Pressure-sensitive Label,Pharmaceuticals,Rivermill Site
2026,Yenzura,Yenzura,MAT-20018,Custom Synthesis Batch,Vaccines,Rivermill Site
2024,Kaldrin,Kaldrin,MAT-20035,Synthetic Peptide Concentrate,Pharmaceuticals,Fenwick Site
2024,Calmera,Calmera,MAT-20051,Custom Synthesis Batch,Vaccines,Clearwater Site
2026,Quilava,Quilava,MAT-20099,Ibuprofen API,Vaccines,Rivermill Site
2025,Advelra,Advelra,MAT-20088,Inbound Air Freight - Temperature Controlled,Pharmaceuticals,Bridgeholm Site
2024,Pulmatrix,Pulmatrix,MAT-20026,Stainless Steel Reactor Component,Specialty Care,Bridgeholm Site
2025,Lumivax,Lumivax,MAT-20013,Patient Information Leaflet,Vaccines,Fenwick Site
2025,Zolvarin,Zolvarin,MAT-20076,Prefilled Syringe 1ml,Specialty Care,Bridgeholm Site
2024,Vezanta,Vezanta,MAT-20033,Paracetamol API,Specialty Care,Kingsley Site
2024,Wintrelis,Wintrelis,MAT-20100,Recombinant Protein Concentrate,Pharmaceuticals,Fenwick Site
2024,Immunara,Immunara,MAT-20045,Corrugated Shipping Box,Vaccines,Northfield Site
2024,Norvelin,Norvelin,MAT-20040,Water for Injection,Vaccines,Solaris Park Site
2024,Brenzolix,Brenzolix,MAT-20105,Isopropyl Alcohol,Specialty Care,Fenwick Site
2026,Vezanta,Vezanta,MAT-20012,Folding Carton,Pharmaceuticals,Fenwick Site
